cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.07,0.2,85,72,-121,85,61,-121,85,-88,146,85,-65,121
20,0.16,0.2,85,70,-121,85,59,-121,85,-81,149,85,-66,121
30,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
40,0.33,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
50,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
60,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
70,0.58,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
80,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
90,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
100,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
110,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
120,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
130,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
140,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
150,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
160,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
170,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
180,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
190,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
200,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
210,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
220,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
230,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
240,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
250,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
260,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
270,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
280,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
290,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
300,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
310,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
320,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
330,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
340,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
350,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
360,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
370,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
380,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
390,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
400,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
410,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
420,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
430,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
440,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
450,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
460,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
470,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
480,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
490,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
500,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
510,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
520,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
530,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
540,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
550,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
560,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
570,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
580,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
590,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
600,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
610,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
620,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
630,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
640,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
650,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
660,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
670,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
680,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
690,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
700,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
710,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
720,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
730,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
740,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
750,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
760,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
770,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
780,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
790,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
800,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
810,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
820,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
830,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
840,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
850,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
860,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
870,0.24,1.0,85,79,-119,85,22,-107,85,-24,111,85,-77,120
880,0.32,1.0,85,71,-121,85,54,-143,85,-30,111,85,-84,117
